ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	Zhen	F1	F2	F3	F4	F5	F6	IsCreat
2022010	Human	1	0	Con Gái Thần Y	[NAME] đoan trang thanh nhã, là con gái Thần Y Vong Ưu Cốc. Có thể chất thông linh, bình thường ôn hòa thiện lương nhưng hơi tùy hứng; với người mình ghét thì không giả sắc. Thích nghiên cứu đan dược mới và sưu tầm ô.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianDanShi	LunHui_61	1
2022011	Human	1	0	Sát Thủ Thiên Ý Thành	[NAME] là sát thủ Thiên Ý Thành, mật danh “Hoa”, đồ đệ của “Thị”, một trong Tứ Đại Sát Thủ. Trung thành với tổ chức, ngoài lạnh trong nóng, dung mạo tú mỹ, khí chất cô ngạo, thường cải trang nam tử. Sau khi sư phụ chết vì nhiệm vụ thất bại, nàng luôn chờ cơ hội báo thù.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	DemonBlood	1
2022012	Human	1	0	Tứ Cung Chủ Tu La Cung	[NAME] là Tứ Cung Chủ Tu La Cung, dung mạo như nguyệt quý, thần thái tựa thủy tiên. Tính tình thiện lương nhưng khó gần, thân thế ít người biết. Nàng rất yêu hoa nghệ, hiểu rõ các loài hoa và trên người luôn phảng phất hương hoa, là một nữ tử đầy bí ẩn.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	LunHui_48	YinBody	1
2022013	Human	1	0	Dạ Xoa Thiên Long Bát Bộ	[NAME] là Dạ Xoa trong Thiên Long Bát Bộ, nữ tử áo đỏ diễm lệ, giỏi khinh công, tà khí bức người, là chiến tướng số một dưới trướng Long Vương. Bề ngoài tàn nhẫn xảo trá nhưng sâu trong lòng vẫn có sự thuần chân và tình cảm, mong được sống đúng với bản thân.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	LunHui_48	DemonBlood	1
2022014	Human	1	0	Vong Ưu Thất Hiền	[NAME] là một trong Vong Ưu Thất Hiền, tinh thông âm luật. Tương truyền khúc nhạc nàng tấu tựa thiên âm, có thể chi phối hỉ nộ ai lạc của con người.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	HuaFuShi	YinBody	1
2022015	Human	1	0	Tứ Trang Chủ Thú Vương Trang	[NAME] từ nhỏ được nghĩa phụ Vạn Thanh Sơn, trang chủ, nuôi lớn. Nàng rất thành thạo bắt và thuần thú; chiếc roi da trong tay được làm từ da cá sấu khổng lồ nàng giết năm tám tuổi. Tính cách độc lập, mạnh mẽ.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_35	LunHui_48	DragonBlood	1
2022016	Human	1	0	Thiên Kim Đường Môn	[NAME] là con gái Đường Phi, chưởng môn Đường Môn, tính tình dịu dàng hòa nhã. Nàng bất mãn với hành vi độc ác của anh trai nhưng thân là nữ tử yếu thế chỉ có thể nhẫn nhịn, sau đó thường tặng tiền cho gia đình nạn nhân để bù đắp.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianBaoShi	LunHui_63	1
2022017	Human	1	0	Độc Đại Phu	[NAME] là con gái quái y Thẩm Chân và Bạch Ti, chị họ của Thẩm Tương Vân. Tính tình cổ quái, thích nhất nghiên cứu độc thuật, ẩn cư trong rừng lớn ngoài cốc. Sau dùng thân thể nhân vật chính luyện ra “Thất Thải Cổ Vương”, rồi đến Tây Vực hành y, lấy độc trị bệnh và trở thành “Độc Đại Phu” nổi danh.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianDanShi	DemonBlood	1
2022018	Human	1	0	Thiên Kim Lâm Gia	[NAME] là đại tiểu thư của Lâm gia, một thế gia tu chân. Vì giận gia đình mà bỏ nhà chạy đến Tiên Kiếm Phái; do gia chủ Lâm gia quen biết trưởng lão Tiên Kiếm Phái nên nàng được thu lưu.	1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianBaoShi	YinBody	1
2022019	Human	1	0	Tinh Cung Hữu Linh	[NAME] vốn là cung chủ Tinh Cung, sau vì cơ duyên xảo hợp mà gia nhập Tiên Kiếm Phái.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Optimistic	LunHui_48	YinBody	1
2022020	Human	1	0	Công Chúa Xuất Vân	[NAME] vốn họ Triệu, là công chúa Xuất Vân Đại Hoa, con gái hoàng đế Triệu Nguyên Vũ và hoàng hậu Tiêu Phượng Nhi, khí chất cao quý và dung nhan tuyệt thế. Ba tuổi vì tránh họa tranh ngôi được viện chủ Ngọc Đức Thánh Phường nhận nuôi, đổi theo họ mẹ, bái Ninh Vũ Tích làm sư học võ; tám tuổi được định làm người kế thừa viện chủ đời 18. Thuở thiếu nữ đã mang lòng thiên hạ và là một trong những cao thủ võ lâm hàng đầu Đại Hoa.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022021	Human	1	0	Tông Chủ Thánh Phường	[NAME] là tông chủ Võ Tông Ngọc Đức Thánh Phường, cháu gái của Tĩnh An Cư Sĩ, sư phụ Tiêu Thanh Tuyền và Lý Hương Quân, sư tỷ An Bích Như, sư thúc Tần Tiên Nhi. Dung nhan tuyệt lệ, thanh tâm quả dục, tựa tiên tử không nhiễm khói lửa nhân gian, võ công đứng đầu thiên hạ.	1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022022	Human	1	0	Đệ Tử Tinh Anh		1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Bear_Fat	Rabbit_Fast	Chicken_Sleep	Tor_Longevity	LunHui_4	1
2021001	Human	2	0	Kiếm Tiên Thục Sơn	Kiếm Tiên Thục Sơn lấy Thục Sơn Tiên Kiếm Phái làm chính thống, chú trọng Ngự Khí và chiến đấu; tu tiên cầu tích đức chứ không cầu phi thăng, tích cực nhập thế trảm yêu. Đạo pháp Tiên Kiếm Phái chỉ cần học được một phần nhỏ đã đủ ngạo thị võ lâm, học được một nửa có thể tung hoành Tam Giới!	1	10	10	10	10	10	20,2	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	Rabbit_Fast	LunHui_45	1
2021002	Human	2	0	Tiên Nhân Chuyển Thế	Hồn phách của [NAME] đến từ quá khứ xa xôi, theo tiếng gọi của vận mệnh giáng lâm thế giới này. Dù tử vong và luân hồi có thể xóa ký ức của [ITS], mỗi lần tái sinh vận mệnh vẫn dẫn [IT] đi trên con đường tương tự.\nTrong khi bị vận mệnh ràng buộc, [NAME] cũng nhận được ân huệ của nó, dù [IT] không hề hay biết.	1	10	10	10	10	10	0,0	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	LunHui_9	Inborn_Jin_Add	Inborn_Shui_Add	Inborn_Mu_Add	Inborn_Huo_Add	Inborn_Tu_Add	1
2021003	Human	0	0	Tiên Thai Đạo Tâm	[NAME] có sức hồi phục mạnh mẽ và tuệ căn kinh người, tâm như chỉ thủy, một lòng hướng Đạo.	1	10	10	10	10	10	0,0	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	LunHui_60	Frog	DeepPotential	Anatman	LunHui_57	LunHui_Kong_6	1
2021004	Human	0	0	Nòng Cốt Ngoại Môn		1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	RunFast	Optimistic	Numbness	Strong	Careful	Industrious	1
