ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6	
10695432	Human	1	0	Ngũ Linh Hợp Thể	Để cứu Thục Sơn khỏi địa mạch hỗn loạn, [NAME] phụng mệnh chưởng môn cầu viện Thanh Lãnh Tiên Nhân, người nắm giữ Ngũ Linh Luân. Thanh Lãnh thu Nam Cung Hoàng vào môn hạ Lục La, hợp Ngũ Linh Luân với thân thể chàng, mở lối vào địa mạch và khai thông Ngũ Linh, giúp Thục Sơn chuyển nguy thành an.	-1	6	8	0	0	2	14,2	12,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15,2	0,0	0,0	0,0	0,0	SonOfDestiny	YangBody	LunHui_41	LunHui_60			0
10695433	Human	0	1	Linh Nhục Phân Ly	Thân thể của [NAME] thực chất là một thi thể vừa khuyết tổn vừa mang kịch độc. Vì linh hồn và thể xác tách rời nên thân thể hoàn toàn mất cảm giác; để thi thể không mục nát phải dùng kịch độc bảo tồn, vì vậy phần lớn thời gian [IT] ở Lý Thục Sơn. [IT] thích nấu ăn nhưng không thể cảm nhận hương vị thức ăn.	-1	0	8	4	0	0	20,2	0,0	0,0	0,0	20,2	0,0	0,0	0,0	2,0	0,0	11,2	0,0	0,0	0,0	0,0	DemonBlood	YinBody	IronStomach	LunHui_42			0
10695434	Human	1	1	Thiếu Chủ Lý Thục Sơn	[NAME] là con trưởng của Xích Viêm và Ti Đoạn, tên thật Chu Huyên. Thuở nhỏ bị Liêu Nhật, chủ nhân Lý Thục Sơn, mang đi nuôi dưỡng nên trở thành thiếu chủ. [NAME] có khí chất người đứng đầu và tài lãnh đạo, có thế lực nhất định trong Yêu Giới; tính cách lạnh lùng kiêu ngạo, ý chí kiên định, đã xác định mục tiêu thì nhất định đạt được.	-1	4	4	0	3	0	11,2	9,2	17,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,1	8,1	0,0	0,0	0,0	Strong	LunHui_1	LunHui_3	LunHui_Kong_6			0
10695435	Human	0	0	Quận Chúa	[NAME] là con gái của một vị vương gia.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0
10695436	Human	1	0	Thần Lực Bẩm Sinh	[NAME] thiếu kiên nhẫn với những công việc tỉ mỉ, thích dùng sức mạnh trực tiếp để giải quyết vấn đề.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0
10695437	Human	0	1	Ngũ Độc Thú	[NAME] là một Ngũ Độc Thú vừa hóa hình, cực kỳ ham ăn, không kiêng đồ sống lạnh, thứ kỳ quái nào cũng có thể nuốt; vì thức ăn có thể bỏ mặc tất cả.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
10695438	Human	1	1	Thiếu Nữ Mẫn Cảm	[NAME] là một thiếu nữ nhạy cảm và có phần thất thường. Khi vui thì dịu dàng chu đáo gần như hoàn mỹ, khi tâm trạng xấu lại trở nên rất hung dữ.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	BeautifulFace2	YinBody	LunHui_12	LunHui_3	RunFast	0
10695439	Human	0	0	Kiếm Hiệp Thục Sơn	[NAME] là đệ tử Thục Sơn điển hình, tính tình trầm ổn cương nghị, trọng tình trọng nghĩa, ý chí kiên định nhưng không giỏi ăn nói.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
10695440	Human	1	0	Trảm Yêu Trừ Ma	[NAME] cho rằng yêu loại tàn hại sinh linh, giết chóc nhân loại nên không thể mềm lòng; vì vậy lấy trảm yêu trừ ma, giữ gìn chính nghĩa làm trách nhiệm của mình.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0
1069029	Human	0	0	Ma Tôn	[NAME] là Ma Thần bất lão bất tử, mang khí thế duy ngã độc tôn tung hoành Lục Giới.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
1069030	Human	1	0	Chí Tôn Lục Giới	[NAME] Trọng Lâu là một trong những nhân vật mạnh nhất từng xuất hiện trong Tiên Kiếm Kỳ Hiệp Truyện, sở hữu sức mạnh hủy thiên diệt địa. Ngoài Tam Hoàng ẩn thế và Phi Bồng giáng phàm, gần như không ai trong thế giới Tiên Kiếm là đối thủ. Dù Ma Thần không thể phát huy toàn bộ ma lực ở nhân gian, sức mạnh của Trọng Lâu vẫn đủ ứng phó mọi yêu ma tiên thần.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0
1069013	Human	0	0	Kiếm Tiên Thục Sơn	[NAME] là con của Lý Tam Tư, hậu nhân Lý Hàn Không, sinh tại Thịnh Ngư Thôn và từng làm tiểu nhị ở Lý Gia Khách Điếm. Trải qua nhiều biến cố, chàng bái nhập Thục Sơn Tiên Kiếm Phái, từng làm chưởng môn đời thứ 27, sau đó thoái vị và trở thành một trong Thục Sơn Thất Thánh.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
1069014	Human	1	0	Kỳ Hiệp Tuyệt Thế	[NAME] vốn là tiểu nhị một khách điếm thôn quê, thiên tư thông minh. Nhờ một bầu rượu mà được Tửu Kiếm Tiên truyền kiếm thuật Thục Sơn Tiên Kiếm Phái; sau khi gặp Triệu Linh Nhi tại Tiên Linh Đảo, chàng trải qua vô số gian nan và trưởng thành thành một kỳ hiệp tuyệt thế.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0
1069059	Human	0	0	Hậu Nhân Nữ Oa	[NAME] thuộc Nữ Oa tộc, huyết mạch lai giữa người và thần, là hậu duệ sinh ra sau khi Nữ Oa bị giáng xuống nhân gian; tuy nửa thần nửa phàm nhưng huyết thống thuộc Chính Thần. Khi linh lực bộc phát, Nữ Oa tộc mạnh hơn thiên thần thông thường; thân rắn là yêu thân do trọc khí nhân gian lưu lại cho hậu duệ.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	LunHui_61	DeepPotential	0
1069060	Human	1	0	Mộng Xà	Sau khi [NAME] thi triển Mộng Xà, năng lực của Nữ Oa tộc tăng mạnh. Đây là tuyệt kỹ đặc hữu của Nữ Oa tộc.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_34	Affinity	LunHui_12	LunHui_3	RunFast	0
1069073	Human	0	0	Nam Lâm Bắc Thẩm	[NAME] là con gái độc nhất của Lâm Thiên Nam, minh chủ võ lâm phương Nam, sau trở thành phu nhân của Lý Tiêu Dao. Nàng thiên tư linh tú, thông minh lanh lợi, trọng tình trọng nghĩa; từ chỗ không đánh không quen với Lý Tiêu Dao, hai người dần hiểu và yêu nhau, trải qua gian nan sinh ly tử biệt rồi cuối cùng kết thành phu thê.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0
1069074	Human	1	0	Càn Khôn Nhất Trịch	[NAME] cùng Tiêu Dao vượt bao hiểm trở, cuối cùng tìm thấy Triệu Linh Nhi tại đáy Tỏa Yêu Tháp. Sau khi Tiêu Dao nhớ lại quan hệ phu thê với Linh Nhi, Nguyệt Như dù đau lòng vẫn an ủi nàng. Ba người hợp sức đánh bại Trấn Ngục Minh Vương rồi phá các Bàn Long Kiếm Trụ trong Hóa Yêu Trì. Khi Tỏa Yêu Tháp sụp đổ, Nguyệt Như vì cứu Tiêu Dao và Linh Nhi đang mang thai mà bị đá lớn rơi trúng, hương tiêu ngọc vẫn.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0
1069075	Human	0	0	Kiếm Tiên Thục Sơn	Trong Tiên Kiếm Kỳ Hiệp Truyện Tam Ngoại Truyện · Vấn Tình Thiên, [NAME] Tư Đồ Chung là tục gia đệ tử Thục Sơn Tiên Kiếm Phái, thiên phú võ học cực cao nhưng nghiện rượu, hành vi phóng khoáng, không câu nệ quy củ. Chàng rất hợp tính Nam Cung Hoàng và trở thành tri kỷ; trong Tiên Kiếm Kỳ Hiệp Truyện, chàng tự xưng Tửu Kiếm Tiên, truyền võ nghệ cho Lý Tiêu Dao và là ân sư của chàng.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	LunHui_17	Warrior	DeepPotential	0
1069076	Human	1	0	Tửu Thần	[NAME] sống phóng khoáng giữa nhân gian, tự sáng tạo tuyệt kỹ “Tửu Thần”, càng uống càng tỉnh táo. Thuở trẻ vì bảo vệ Nam Cung Hoàng mà chấp nhận bị trục xuất khỏi sư môn, bởi tin rằng yêu cũng có thiện ác. Chàng thề nếm hết mỹ tửu thiên hạ, trảm yêu trừ ma nhưng không lạm sát vô tội. Sau này gặp Lý Tiêu Dao, tuy quý thiên phú của chàng và truyền nghệ nhưng không thu làm đệ tử, rồi tiếp tục tiêu dao giang hồ, say ngắm nhân gian.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	LunHui_47	LunHui_41	LunHui_12	LunHui_3	RunFast	0
1069071	Human	0	0	Vu Nguyệt Thần Giáo	[NAME] là thiếu chủ Bạch Miêu tộc, vẻ ngoài ngây thơ đáng yêu nhưng thủ đoạn vu thuật độc cổ khiến người khiếp sợ. Nàng một lòng với Lý Tiêu Dao nhưng chỉ có thể âm thầm ở bên. Sau này trở thành giáo chủ Vu Nguyệt Thần Giáo, đảm nhiệm Thánh Cô đời mới, được gọi là “Hải Đường Phu Nhân”, và thu Tiểu Man làm đồ đệ.	-1	0	0	0	0	50	0,0	0,0	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	0,0	50,2	0,0	0,0	0,0	LunHui_51	Craftsman	LunHui_61	LunHui_12	LunHui_3	RunFast	0
1069072	Human	1	0	Vạn Cổ Phệ Thiên	Bái Nguyệt Giáo Chủ muốn Hắc Miêu tộc thống trị thiên hạ, định dùng A Nô và Tiêu Dao tế Thủy Ma Thú. Triệu Linh Nhi xuất hiện, ba người hợp sức đánh bại hắn, nhưng hắn hợp thể với Thủy Ma Thú gây đại hồng thủy. A Nô được Tiêu Dao cứu, còn Linh Nhi hy sinh bản thân cùng Bái Nguyệt Giáo Chủ đồng quy vu tận. Tiêu Dao cáo biệt A Nô, nàng dùng tiếng sáo tiễn chàng.	-1	50	50	50	50	0	50,2	50,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	50,2	0,0	50,2	50,2	50,2	SonOfDestiny	LunHui_57	Anatman	BeautifulFace2	YangBody	DeepPotential	0
